time,open,high,low,close,Volume,Open,High,Low,Close,Volume
2020-01-08,5.96897671,6.02573875,5.92886985,5.984412,277240680,5.96897671,6.02573875,5.92886985,5.984412,277240680
2020-01-09,6.07079985,6.12257529,5.99623743,6.05013647,255442120,6.07079985,6.12257529,5.99623743,6.05013647,255442120
2020-01-10,6.15743665,6.18780932,6.06831028,6.08250079,316462400,6.15743665,6.18780932,6.06831028,6.08250079,316462400
2020-01-13,6.1656522,6.29830609,6.14299718,6.27320133,320338040,6.1656522,6.29830609,6.14299718,6.27320133,320338040
2020-01-14,6.23038085,6.25577439,6.14299718,6.15619186,359579320,6.23038085,6.25577439,6.14299718,6.15619186,359579320
2020-01-15,6.16888864,6.1912723,6.08772888,6.11362033,263105440,6.16888864,6.1912723,6.08772888,6.11362033,263105440
2020-01-16,6.16714594,6.20324461,6.14361957,6.19726966,284191640,6.16714594,6.20324461,6.14361957,6.19726966,284191640
2020-01-17,6.21643929,6.22390798,6.15843247,6.20598313,253790560,6.21643929,6.22390798,6.15843247,6.20598313,253790560
2020-01-21,6.16926207,6.20623208,6.13852343,6.17262298,217917000,6.16926207,6.20623208,6.13852343,6.17262298,217917000
2020-01-22,6.21793303,6.3132833,6.19901235,6.22515276,239238680,6.21793303,6.3132833,6.19901235,6.22515276,239238680
2020-01-23,6.26672847,6.30357401,6.17785106,6.29510949,244514440,6.26672847,6.30357401,6.17785106,6.29510949,244514440
2020-01-24,6.41062522,6.46041649,6.18158541,6.23585789,373513560,6.41062522,6.46041649,6.18158541,6.23585789,373513560
2020-01-27,5.93113535,6.03096684,5.7815126,5.97993079,470534160,5.93113535,6.03096684,5.7815126,5.97993079,470534160
2020-01-28,6.04590421,6.20573417,5.99273461,6.17336985,310976040,6.04590421,6.20573417,5.99273461,6.17336985,310976040
2020-01-29,6.15893038,6.19502905,6.07304045,6.11287346,259451160,6.15893038,6.19502905,6.07304045,6.11287346,259451160
2020-01-30,6.01503363,6.13303893,5.96001428,6.11959529,290503600,6.01503363,6.13303893,5.96001428,6.11959529,290503600
2020-01-31,6.07378732,6.08573723,5.8442496,5.88607426,370419720,6.07378732,6.08573723,5.8442496,5.88607426,370419720
2020-02-03,5.86790045,6.0026132,5.86167654,5.98316722,255928200,5.86790045,6.0026132,5.86167654,5.98316722,255928200
2020-02-04,6.12507232,6.17162716,6.0750321,6.15245752,271543560,6.12507232,6.17162716,6.0750321,6.15245752,271543560
2020-02-05,6.27345029,6.2836575,6.1594283,6.24282866,208220080,6.27345029,6.2836575,6.1594283,6.24282866,208220080
2020-02-06,6.27718464,6.32971442,6.19602488,6.32958994,218282040,6.27718464,6.32971442,6.19602488,6.32958994,218282040
2020-02-07,6.28963245,6.31178956,6.23814828,6.26349204,189752120,6.28963245,6.31178956,6.23814828,6.26349204,189752120
2020-02-10,6.28614706,6.5475512,6.28116794,6.54680433,529607760,6.28614706,6.5475512,6.28116794,6.54680433,529607760
2020-02-11,6.65510033,6.7840597,6.5931102,6.66929084,638556880,6.65510033,6.7840597,6.5931102,6.66929084,638556880
2020-02-12,6.72206958,6.79152839,6.68316766,6.78505553,374644720,6.72206958,6.79152839,6.68316766,6.78505553,374644720
2020-02-13,6.7270487,6.80845742,6.69966351,6.74123921,528015360,6.7270487,6.80845742,6.69966351,6.74123921,528015360
2020-02-14,7.15151923,7.34346455,7.12015073,7.21450518,1041923720,7.15151923,7.34346455,7.12015073,7.21450518,1041923720
2020-02-18,7.11127544,7.40172033,7.09176971,7.38329756,621881000,7.11127544,7.40172033,7.09176971,7.38329756,621881000
2020-02-19,7.50578407,7.85233127,7.50567453,7.83465537,694331240,7.50578407,7.85233127,7.50567453,7.83465537,694331240
2020-02-20,7.78648232,7.87498629,7.37782052,7.68528158,810050360,7.78648232,7.87498629,7.37782052,7.68528158,810050360
2020-02-21,7.57300228,7.59814687,7.23616438,7.32105848,769293240,7.57300228,7.59814687,7.23616438,7.32105848,769293240
2020-02-24,6.72655079,7.01738903,6.67202936,6.80347829,856914920,6.72655079,7.01738903,6.67202936,6.80347829,856914920
2020-02-25,6.87875024,6.94065323,6.42207721,6.52390035,1055497680,6.87875024,6.94065323,6.42207721,6.52390035,1055497680
2020-02-26,6.5241493,6.85750182,6.52265557,6.66331589,749661440,6.5241493,6.85750182,6.52265557,6.66331589,749661440
2020-02-27,6.34969243,6.65110976,6.19998018,6.29239822,906414920,6.34969243,6.65110976,6.19998018,6.29239822,906414920
2020-02-28,6.03968096,6.78712122,6.02311546,6.72758507,1134675280,6.03968096,6.78712122,6.02311546,6.72758507,1134675280
